Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,13.08,-12.22,Top,180.0
C1,28.55, 1.63,Top,90.0
C2,27.03, 1.63,Top,90.0
C3,21.16, 2.59,Top,90.0
C4,30.30,-2.82,Top,90.0
C5,25.50, 1.63,Top,90.0
C6,25.30,-7.95,Top,90.0
C7,19.05, 1.78,Top,90.0
C8,35.84,-2.49,Top,0.0
C9,24.18, 8.71,Top,0.0
C10, 8.53, 2.18,Top,270.0
C11, 8.51, 4.72,Top,90.0
C12,10.06, 5.23,Top,180.0
C13,29.46, 5.87,Top,90.0
C14,34.72,-5.64,Top,180.0
CH, 6.73, 0.00,Top,180.0
D1, 8.89, 8.61,Top,180.0
D2,18.57, 7.92,Top,90.0
D3,23.47, 1.70,Top,270.0
D7, 7.90,-9.45,Top,90.0
D10, 9.22,10.21,Top,180.0
F1,23.47,-3.35,Top,90.0
F2,23.47, 5.03,Top,270.0
IC1,21.13, 7.42,Top,180.0
IC3,11.81, 2.46,Top,270.0
IC4,26.70, 5.87,Top,270.0
IC5,52.32, 0.00,Top,270.0
J3,14.10, 9.17,Top,0.0
J4, 6.73, 6.35,Top,270.0
J5,33.73, 4.98,Top,270.0
J6, 6.73,-6.35,Top,270.0
LDO,27.00,-2.82,Top,180.0
LED_IO45,34.72,-7.39,Top,90.0
Q1,21.00,-7.98,Top,180.0
Q2,20.27,-3.35,Top,90.0
R1,19.20,-7.98,Top,90.0
R2,24.25,-7.95,Top,270.0
R3,22.81,-7.95,Top,270.0
R4, 1.27, 0.00,Top,90.0
R5, 2.54, 0.00,Top,90.0
R8,33.78,-1.45,Top,180.0
R9,35.84,-1.45,Top,180.0
R10,11.46,-0.97,Top,180.0
R11,19.56,-0.43,Top,180.0
R12,21.62,-0.43,Top,0.0
R15,19.05, 4.47,Top,90.0
R16, 5.08, 0.00,Top,270.0
R17, 3.81, 0.00,Top,270.0
R19,18.01, 4.47,Top,90.0
RESET,29.39,-8.26,Top,180.0
U1,15.75,-1.65,Top,0.0
C15,29.90, 3.73,Bottom,180.0
C16,30.68,-3.25,Bottom,180.0
C17,30.68, 2.01,Bottom,180.0
C18,21.01, 1.40,Bottom,180.0
C19,27.74,-2.54,Bottom,270.0
C20,27.46, 1.19,Bottom,270.0
C21,27.74,-6.45,Bottom,270.0
C22,21.54,-6.81,Bottom,270.0
CAM,36.32, 0.00,Bottom,270.0
D5, 9.73,-3.89,Bottom,90.0
D6, 8.53,-3.89,Bottom,90.0
D8, 9.04, 5.79,Bottom,180.0
D9, 9.04, 6.91,Bottom,180.0
IC2,23.98,-0.61,Bottom,270.0
IC6,23.98, 3.43,Bottom,270.0
IC7,23.98,-4.65,Bottom,270.0
R6,13.46,-0.05,Bottom,270.0
R7,13.46,-5.28,Bottom,90.0
R13,12.60,10.52,Bottom,270.0
R14,13.59,10.52,Bottom,270.0
R18,30.68,-4.29,Bottom,0.0
R20,30.68,-2.21,Bottom,180.0
R21,30.51, 5.26,Bottom,0.0
