Comment,Designator,Footprint,LCSC Part #
1 5uH,L1 L2 L3,L1008,C370040
1.3M,R9,R0402,
1M,R8,R0402,
2R,R17 R19,R0603,
4.7k,R6 R7,R0402,
5.1k,R4 R5,R0402,
10k,R1 R2 R3 R18 R21,R0402,
10uF,C10 C11 C12 C13,C0603,
15pF,C17,C0402,
22uF,C14 C15 C16 C18 C19 C20,C0603,
47uF,C2,C0603,
100k,R12 R14 R15 R16,R0402,
100n,C21,C0402,
100nF,C1 C6 C7 C8,C0402,
220p,C4 C5 C9,C0402,
365k,R13,R0402,
453k,R11,R0402,
BAT60B,D1 D2,SOD323-R,C514095
DR74,L4,DR74,C128684
EA3036CQBR,IC3,UQFN-20-3X3,C570857
ESP32-S2-WROVER,IC5,ESP32-S2-WROOM,C529595
IP5306-I2C,IC4,SOIC127P600X165-9N,C488349
JST-PH-2/90SMD,BATT,S2B-PH-SM4,C47647
MMDT3904,Q1,SC70-6,C268586
TS-1088R-02026,ON/OFF RESET,TS1088R02026,C455280
USB-C_2-16PIN,OTG POWER,USBC_USB-C-16P-5,C2837092
uŠup,J3,1X04_1MM_RA,C145956
1k,R22,R0402,
2k2,R24 R25,R0402,
10k,R23,R0402,
100n,C22 C23,C0402,
FH12-24S-0.5SH,CAM,FH12-24S-0.5SH,
AO3401,Q2,SOT23,
TXS0102,IC1,SSOP8-P-0.50S,C53434
